"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<299.17 23:41:48> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [331]
"<301.17 23:41:50> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [333]
"<301.17 23:41:50> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [335]
"<303.17 23:41:52> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [337]
"<303.17 23:41:52> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [339]
"<305.21 23:41:54> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [341]
"<305.21 23:41:54> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [343]
"<307.24 23:41:56> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [345]
"<307.24 23:41:56> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [347]
"<309.24 23:41:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [349]
"<309.24 23:41:58> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [351]
"<311.24 23:42:00> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [353]
"<311.24 23:42:00> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [355]
"<313.27 23:42:02> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [357]
"<313.27 23:42:02> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [359]
"<315.31 23:42:04> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [361]
"<315.31 23:42:04> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [363]
"<317.34 23:42:06> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [365]
"<317.34 23:42:06> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [367]
"<319.34 23:42:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [369]
"<319.34 23:42:08> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [371]
"<321.37 23:42:11> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [373]
"<321.37 23:42:11> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [375]
"<322.34 23:42:11> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [376]
"<322.71 23:42:12> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [377]
"<323.37 23:42:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [379]
"<323.37 23:42:13> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [381]
"<325.40 23:42:15> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [383]
"<325.40 23:42:15> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [385]
"<327.44 23:42:17> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [387]
"<327.44 23:42:17> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [389]
"<329.44 23:42:19> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [391]
"<329.44 23:42:19> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [393]
"<331.47 23:42:21> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [395]
"<331.47 23:42:21> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [397]
"<333.45 23:42:23> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [399]
"<333.45 23:42:23> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [401]
"<335.46 23:42:25> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [403]
"<335.46 23:42:25> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [405]
"<337.47 23:42:27> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [407]
"<337.47 23:42:27> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [409]
"<339.47 23:42:29> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [411]
"<339.47 23:42:29> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [413]
"<341.50 23:42:31> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [415]
"<341.50 23:42:31> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [417]
"<343.51 23:42:33> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [419]
"<343.51 23:42:33> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [421]
